 table_schema |       table_name       | col_id |       column_name        | data_type | numeric_precision | numeric_scale 
--------------+------------------------+--------+--------------------------+-----------+-------------------+---------------
 public       | call_center            |      1 | cc_call_center_sk        | integer   |                32 |             0
 public       | call_center            |      5 | cc_closed_date_sk        | integer   |                32 |             0
 public       | call_center            |      6 | cc_open_date_sk          | integer   |                32 |             0
 public       | call_center            |      9 | cc_employees             | integer   |                32 |             0
 public       | call_center            |     10 | cc_sq_ft                 | integer   |                32 |             0
 public       | call_center            |     13 | cc_mkt_id                | integer   |                32 |             0
 public       | call_center            |     17 | cc_division              | integer   |                32 |             0
 public       | call_center            |     19 | cc_company               | integer   |                32 |             0
 public       | call_center            |     30 | cc_gmt_offset            | numeric   |                 5 |             2
 public       | call_center            |     31 | cc_tax_percentage        | numeric   |                 5 |             2
 public       | catalog_page           |      1 | cp_catalog_page_sk       | integer   |                32 |             0
 public       | catalog_page           |      3 | cp_start_date_sk         | integer   |                32 |             0
 public       | catalog_page           |      4 | cp_end_date_sk           | integer   |                32 |             0
 public       | catalog_page           |      6 | cp_catalog_number        | integer   |                32 |             0
 public       | catalog_page           |      7 | cp_catalog_page_number   | integer   |                32 |             0
 public       | catalog_returns        |      1 | cr_returned_date_sk      | integer   |                32 |             0
 public       | catalog_returns        |      2 | cr_returned_time_sk      | integer   |                32 |             0
 public       | catalog_returns        |      3 | cr_item_sk               | integer   |                32 |             0
 public       | catalog_returns        |      4 | cr_refunded_customer_sk  | integer   |                32 |             0
 public       | catalog_returns        |      5 | cr_refunded_cdemo_sk     | integer   |                32 |             0
 public       | catalog_returns        |      6 | cr_refunded_hdemo_sk     | integer   |                32 |             0
 public       | catalog_returns        |      7 | cr_refunded_addr_sk      | integer   |                32 |             0
 public       | catalog_returns        |      8 | cr_returning_customer_sk | integer   |                32 |             0
 public       | catalog_returns        |      9 | cr_returning_cdemo_sk    | integer   |                32 |             0
 public       | catalog_returns        |     10 | cr_returning_hdemo_sk    | integer   |                32 |             0
 public       | catalog_returns        |     11 | cr_returning_addr_sk     | integer   |                32 |             0
 public       | catalog_returns        |     12 | cr_call_center_sk        | integer   |                32 |             0
 public       | catalog_returns        |     13 | cr_catalog_page_sk       | integer   |                32 |             0
 public       | catalog_returns        |     14 | cr_ship_mode_sk          | integer   |                32 |             0
 public       | catalog_returns        |     15 | cr_warehouse_sk          | integer   |                32 |             0
 public       | catalog_returns        |     16 | cr_reason_sk             | integer   |                32 |             0
 public       | catalog_returns        |     17 | cr_order_number          | integer   |                32 |             0
 public       | catalog_returns        |     18 | cr_return_quantity       | integer   |                32 |             0
 public       | catalog_returns        |     19 | cr_return_amount         | numeric   |                 7 |             2
 public       | catalog_returns        |     20 | cr_return_tax            | numeric   |                 7 |             2
 public       | catalog_returns        |     21 | cr_return_amt_inc_tax    | numeric   |                 7 |             2
 public       | catalog_returns        |     22 | cr_fee                   | numeric   |                 7 |             2
 public       | catalog_returns        |     23 | cr_return_ship_cost      | numeric   |                 7 |             2
 public       | catalog_returns        |     24 | cr_refunded_cash         | numeric   |                 7 |             2
 public       | catalog_returns        |     25 | cr_reversed_charge       | numeric   |                 7 |             2
 public       | catalog_returns        |     26 | cr_store_credit          | numeric   |                 7 |             2
 public       | catalog_returns        |     27 | cr_net_loss              | numeric   |                 7 |             2
 public       | catalog_sales          |      1 | cs_sold_date_sk          | integer   |                32 |             0
 public       | catalog_sales          |      2 | cs_sold_time_sk          | integer   |                32 |             0
 public       | catalog_sales          |      3 | cs_ship_date_sk          | integer   |                32 |             0
 public       | catalog_sales          |      4 | cs_bill_customer_sk      | integer   |                32 |             0
 public       | catalog_sales          |      5 | cs_bill_cdemo_sk         | integer   |                32 |             0
 public       | catalog_sales          |      6 | cs_bill_hdemo_sk         | integer   |                32 |             0
 public       | catalog_sales          |      7 | cs_bill_addr_sk          | integer   |                32 |             0
 public       | catalog_sales          |      8 | cs_ship_customer_sk      | integer   |                32 |             0
 public       | catalog_sales          |      9 | cs_ship_cdemo_sk         | integer   |                32 |             0
 public       | catalog_sales          |     10 | cs_ship_hdemo_sk         | integer   |                32 |             0
 public       | catalog_sales          |     11 | cs_ship_addr_sk          | integer   |                32 |             0
 public       | catalog_sales          |     12 | cs_call_center_sk        | integer   |                32 |             0
 public       | catalog_sales          |     13 | cs_catalog_page_sk       | integer   |                32 |             0
 public       | catalog_sales          |     14 | cs_ship_mode_sk          | integer   |                32 |             0
 public       | catalog_sales          |     15 | cs_warehouse_sk          | integer   |                32 |             0
 public       | catalog_sales          |     16 | cs_item_sk               | integer   |                32 |             0
 public       | catalog_sales          |     17 | cs_promo_sk              | integer   |                32 |             0
 public       | catalog_sales          |     18 | cs_order_number          | integer   |                32 |             0
 public       | catalog_sales          |     19 | cs_quantity              | integer   |                32 |             0
 public       | catalog_sales          |     20 | cs_wholesale_cost        | numeric   |                 7 |             2
 public       | catalog_sales          |     21 | cs_list_price            | numeric   |                 7 |             2
 public       | catalog_sales          |     22 | cs_sales_price           | numeric   |                 7 |             2
 public       | catalog_sales          |     23 | cs_ext_discount_amt      | numeric   |                 7 |             2
 public       | catalog_sales          |     24 | cs_ext_sales_price       | numeric   |                 7 |             2
 public       | catalog_sales          |     25 | cs_ext_wholesale_cost    | numeric   |                 7 |             2
 public       | catalog_sales          |     26 | cs_ext_list_price        | numeric   |                 7 |             2
 public       | catalog_sales          |     27 | cs_ext_tax               | numeric   |                 7 |             2
 public       | catalog_sales          |     28 | cs_coupon_amt            | numeric   |                 7 |             2
 public       | catalog_sales          |     29 | cs_ext_ship_cost         | numeric   |                 7 |             2
 public       | catalog_sales          |     30 | cs_net_paid              | numeric   |                 7 |             2
 public       | catalog_sales          |     31 | cs_net_paid_inc_tax      | numeric   |                 7 |             2
 public       | catalog_sales          |     32 | cs_net_paid_inc_ship     | numeric   |                 7 |             2
 public       | catalog_sales          |     33 | cs_net_paid_inc_ship_tax | numeric   |                 7 |             2
 public       | catalog_sales          |     34 | cs_net_profit            | numeric   |                 7 |             2
 public       | customer               |      1 | c_customer_sk            | integer   |                32 |             0
 public       | customer               |      3 | c_current_cdemo_sk       | integer   |                32 |             0
 public       | customer               |      4 | c_current_hdemo_sk       | integer   |                32 |             0
 public       | customer               |      5 | c_current_addr_sk        | integer   |                32 |             0
 public       | customer               |      6 | c_first_shipto_date_sk   | integer   |                32 |             0
 public       | customer               |      7 | c_first_sales_date_sk    | integer   |                32 |             0
 public       | customer               |     12 | c_birth_day              | integer   |                32 |             0
 public       | customer               |     13 | c_birth_month            | integer   |                32 |             0
 public       | customer               |     14 | c_birth_year             | integer   |                32 |             0
 public       | customer               |     18 | c_last_review_date_sk    | integer   |                32 |             0
 public       | customer_address       |      1 | ca_address_sk            | integer   |                32 |             0
 public       | customer_address       |     12 | ca_gmt_offset            | numeric   |                 5 |             2
 public       | customer_demographics  |      1 | cd_demo_sk               | integer   |                32 |             0
